date,target_demand,sku,category,location,channel
2026-03-01,92,ELE_PHONE_001,Electronics,WH_EAST_01,B2B_DISTRIBUTOR
2026-03-01,396,ELE_KEYBOARD_002,Electronics,WH_EAST_01,RETAIL
2026-03-01,313,ELE_CHARGER_003,Electronics,WH_EAST_01,RETAIL
2026-03-01,277,ELE_SPEAKER_004,Electronics,WH_EAST_01,B2B_DISTRIBUTOR
2026-03-01,168,ELE_SPEAKER_005,Electronics,WH_EAST_01,WHOLESALE
2026-03-01,175,ELE_CHARGER_006,Electronics,WH_SOUTH_03,RETAIL
2026-03-01,107,ELE_PHONE_007,Electronics,WH_WEST_02,B2B_DISTRIBUTOR
2026-03-01,273,ELE_SPEAKER_008,Electronics,WH_SOUTH_03,RETAIL
2026-03-01,594,ELE_MONITOR_009,Electronics,WH_WEST_02,RETAIL
2026-03-01,391,ELE_LAPTOP_010,Electronics,WH_WEST_02,E_COMMERCE
2026-03-01,268,ELE_TV_011,Electronics,WH_EAST_01,RETAIL
2026-03-01,815,ELE_KEYBOARD_012,Electronics,WH_NORTH_04,RETAIL
2026-03-01,190,ELE_MONITOR_013,Electronics,WH_NORTH_04,WHOLESALE
2026-03-01,180,ELE_HEADPHONES_014,Electronics,WH_EAST_01,B2B_DISTRIBUTOR
2026-03-01,601,ELE_LAPTOP_015,Electronics,WH_NORTH_04,WHOLESALE
2026-03-01,533,ELE_KEYBOARD_016,Electronics,WH_EAST_01,B2B_DISTRIBUTOR
2026-03-01,699,ELE_CHARGER_017,Electronics,WH_NORTH_04,RETAIL
2026-03-01,51,ELE_CAMERA_018,Electronics,WH_WEST_02,B2B_DISTRIBUTOR
2026-03-01,643,ELE_MONITOR_019,Electronics,WH_WEST_02,B2B_DISTRIBUTOR
2026-03-01,460,ELE_KEYBOARD_020,Electronics,WH_SOUTH_03,RETAIL
2026-03-01,242,ELE_TV_021,Electronics,WH_NORTH_04,B2B_DISTRIBUTOR
2026-03-01,784,ELE_CHARGER_022,Electronics,WH_WEST_02,E_COMMERCE
2026-03-01,358,ELE_CHARGER_023,Electronics,WH_WEST_02,E_COMMERCE
2026-03-01,753,ELE_SPEAKER_024,Electronics,WH_EAST_01,RETAIL
2026-03-01,121,ELE_TABLET_025,Electronics,WH_WEST_02,B2B_DISTRIBUTOR
2026-03-01,1004,ELE_PHONE_026,Electronics,WH_SOUTH_03,B2B_DISTRIBUTOR
2026-03-01,232,ELE_CHARGER_027,Electronics,WH_NORTH_04,RETAIL
2026-03-01,967,ELE_CAMERA_028,Electronics,WH_SOUTH_03,WHOLESALE
2026-03-01,549,ELE_SPEAKER_029,Electronics,WH_EAST_01,B2B_DISTRIBUTOR
2026-03-01,681,ELE_SPEAKER_030,Electronics,WH_WEST_02,WHOLESALE
2026-03-01,562,ELE_LAPTOP_031,Electronics,WH_EAST_01,WHOLESALE
2026-03-01,112,ELE_CHARGER_032,Electronics,WH_EAST_01,RETAIL
2026-03-01,498,ELE_LAPTOP_033,Electronics,WH_EAST_01,RETAIL
2026-03-01,38,ELE_SPEAKER_034,Electronics,WH_NORTH_04,E_COMMERCE
2026-03-01,674,ELE_SPEAKER_035,Electronics,WH_NORTH_04,RETAIL
2026-03-01,328,ELE_TABLET_036,Electronics,WH_EAST_01,E_COMMERCE
2026-03-01,111,ELE_TV_037,Electronics,WH_WEST_02,B2B_DISTRIBUTOR
2026-03-01,147,ELE_CHARGER_038,Electronics,WH_WEST_02,WHOLESALE
2026-03-01,905,ELE_PHONE_039,Electronics,WH_EAST_01,WHOLESALE
2026-03-01,585,ELE_KEYBOARD_040,Electronics,WH_SOUTH_03,RETAIL
2026-03-01,427,ELE_MONITOR_041,Electronics,WH_EAST_01,B2B_DISTRIBUTOR
2026-03-01,600,ELE_CAMERA_042,Electronics,WH_WEST_02,E_COMMERCE
2026-03-01,321,ELE_LAPTOP_043,Electronics,WH_WEST_02,WHOLESALE
2026-03-01,703,ELE_CHARGER_044,Electronics,WH_EAST_01,E_COMMERCE
2026-03-01,1001,ELE_PHONE_045,Electronics,WH_WEST_02,E_COMMERCE
2026-03-01,902,ELE_MONITOR_046,Electronics,WH_SOUTH_03,WHOLESALE
2026-03-01,854,ELE_MONITOR_047,Electronics,WH_SOUTH_03,B2B_DISTRIBUTOR
2026-03-01,270,ELE_TV_048,Electronics,WH_NORTH_04,WHOLESALE
2026-03-01,44,ELE_CHARGER_049,Electronics,WH_WEST_02,B2B_DISTRIBUTOR
2026-03-01,597,ELE_HEADPHONES_050,Electronics,WH_SOUTH_03,B2B_DISTRIBUTOR
2026-03-01,192,ELE_HEADPHONES_051,Electronics,WH_NORTH_04,RETAIL
2026-03-01,873,ELE_TABLET_052,Electronics,WH_NORTH_04,B2B_DISTRIBUTOR
2026-03-01,899,ELE_LAPTOP_053,Electronics,WH_WEST_02,E_COMMERCE
2026-03-01,653,ELE_LAPTOP_054,Electronics,WH_NORTH_04,RETAIL
2026-03-01,797,ELE_TABLET_055,Electronics,WH_WEST_02,RETAIL
2026-03-01,839,ELE_TV_056,Electronics,WH_SOUTH_03,E_COMMERCE
2026-03-01,326,ELE_CHARGER_057,Electronics,WH_EAST_01,B2B_DISTRIBUTOR
2026-03-01,214,ELE_MONITOR_058,Electronics,WH_NORTH_04,E_COMMERCE
2026-03-01,431,ELE_HEADPHONES_059,Electronics,WH_WEST_02,E_COMMERCE
2026-03-01,446,ELE_TV_060,Electronics,WH_WEST_02,E_COMMERCE
2026-03-01,97,ELE_SPEAKER_061,Electronics,WH_EAST_01,E_COMMERCE
2026-03-01,353,ELE_CHARGER_062,Electronics,WH_WEST_02,RETAIL
2026-03-01,519,ELE_SPEAKER_063,Electronics,WH_SOUTH_03,WHOLESALE
2026-03-01,919,ELE_CHARGER_064,Electronics,WH_SOUTH_03,WHOLESALE
2026-03-01,433,ELE_CAMERA_065,Electronics,WH_WEST_02,B2B_DISTRIBUTOR
2026-03-01,457,ELE_MONITOR_066,Electronics,WH_WEST_02,E_COMMERCE
2026-03-01,695,ELE_TABLET_067,Electronics,WH_NORTH_04,B2B_DISTRIBUTOR
2026-03-01,480,ELE_CAMERA_068,Electronics,WH_NORTH_04,WHOLESALE
2026-03-01,201,ELE_SPEAKER_069,Electronics,WH_EAST_01,WHOLESALE
2026-03-01,132,ELE_TABLET_070,Electronics,WH_WEST_02,B2B_DISTRIBUTOR
2026-03-01,127,ELE_CAMERA_071,Electronics,WH_SOUTH_03,WHOLESALE
2026-03-01,649,ELE_KEYBOARD_072,Electronics,WH_NORTH_04,RETAIL
2026-03-01,11905,FMCG_COFFEE_001,FMCG,WH_NORTH_04,RETAIL
2026-03-01,10339,FMCG_SHAMPOO_002,FMCG,WH_SOUTH_03,B2B_DISTRIBUTOR
2026-03-01,3466,FMCG_CEREAL_003,FMCG,WH_EAST_01,WHOLESALE
2026-03-01,8312,FMCG_WATER_004,FMCG,WH_NORTH_04,WHOLESALE
2026-03-01,856,FMCG_MILK_005,FMCG,WH_EAST_01,E_COMMERCE
2026-03-01,10075,FMCG_SHAMPOO_006,FMCG,WH_WEST_02,WHOLESALE
2026-03-01,6297,FMCG_SOAP_007,FMCG,WH_NORTH_04,RETAIL
2026-03-01,3375,FMCG_COFFEE_008,FMCG,WH_EAST_01,B2B_DISTRIBUTOR
2026-03-01,11333,FMCG_WATER_009,FMCG,WH_SOUTH_03,RETAIL
2026-03-01,6191,FMCG_COFFEE_010,FMCG,WH_NORTH_04,E_COMMERCE
2026-03-01,12127,FMCG_YOGURT_011,FMCG,WH_SOUTH_03,RETAIL
2026-03-01,1134,FMCG_YOGURT_012,FMCG,WH_EAST_01,RETAIL
2026-03-01,1893,FMCG_SOAP_013,FMCG,WH_NORTH_04,E_COMMERCE
2026-03-01,3810,FMCG_SNACKS_014,FMCG,WH_WEST_02,E_COMMERCE
2026-03-01,15390,FMCG_YOGURT_015,FMCG,WH_NORTH_04,WHOLESALE
2026-03-01,2731,FMCG_SOAP_016,FMCG,WH_SOUTH_03,B2B_DISTRIBUTOR
2026-03-01,1696,FMCG_MILK_017,FMCG,WH_SOUTH_03,B2B_DISTRIBUTOR
2026-03-01,11122,FMCG_WATER_018,FMCG,WH_NORTH_04,RETAIL
2026-03-01,4268,FMCG_WATER_019,FMCG,WH_NORTH_04,WHOLESALE
2026-03-01,5381,FMCG_WATER_020,FMCG,WH_SOUTH_03,WHOLESALE
2026-03-01,8839,FMCG_SOAP_021,FMCG,WH_NORTH_04,E_COMMERCE
2026-03-01,8622,FMCG_CEREAL_022,FMCG,WH_SOUTH_03,B2B_DISTRIBUTOR
2026-03-01,4213,FMCG_TEA_023,FMCG,WH_WEST_02,WHOLESALE
2026-03-01,11878,FMCG_COFFEE_024,FMCG,WH_WEST_02,E_COMMERCE
2026-03-01,8414,FMCG_MILK_025,FMCG,WH_SOUTH_03,E_COMMERCE
2026-03-01,6562,FMCG_COFFEE_026,FMCG,WH_SOUTH_03,B2B_DISTRIBUTOR
2026-03-01,2543,FMCG_TEA_027,FMCG,WH_SOUTH_03,B2B_DISTRIBUTOR
2026-03-01,8765,FMCG_SOAP_028,FMCG,WH_WEST_02,E_COMMERCE
2026-03-01,1692,FMCG_SODA_029,FMCG,WH_NORTH_04,B2B_DISTRIBUTOR
2026-03-01,9556,FMCG_SODA_030,FMCG,WH_EAST_01,E_COMMERCE
2026-03-01,3653,FMCG_COFFEE_031,FMCG,WH_EAST_01,RETAIL
2026-03-01,15051,FMCG_CEREAL_032,FMCG,WH_NORTH_04,RETAIL
2026-03-01,10206,FMCG_TEA_033,FMCG,WH_NORTH_04,E_COMMERCE
2026-03-01,1978,FMCG_MILK_034,FMCG,WH_WEST_02,RETAIL
2026-03-01,2510,FMCG_SHAMPOO_035,FMCG,WH_EAST_01,WHOLESALE
2026-03-01,10156,FMCG_COFFEE_036,FMCG,WH_NORTH_04,B2B_DISTRIBUTOR
2026-03-01,7275,FMCG_SOAP_037,FMCG,WH_WEST_02,WHOLESALE
2026-03-01,13752,FMCG_YOGURT_038,FMCG,WH_WEST_02,B2B_DISTRIBUTOR
2026-03-01,5178,FMCG_SODA_039,FMCG,WH_SOUTH_03,WHOLESALE
2026-03-01,12930,FMCG_YOGURT_040,FMCG,WH_NORTH_04,WHOLESALE
2026-03-01,1428,FMCG_YOGURT_041,FMCG,WH_EAST_01,B2B_DISTRIBUTOR
2026-03-01,13356,FMCG_SOAP_042,FMCG,WH_SOUTH_03,B2B_DISTRIBUTOR
2026-03-01,9549,FMCG_CEREAL_043,FMCG,WH_NORTH_04,WHOLESALE
2026-03-01,7418,FMCG_YOGURT_044,FMCG,WH_WEST_02,E_COMMERCE
2026-03-01,14186,FMCG_WATER_045,FMCG,WH_EAST_01,WHOLESALE
2026-03-01,7364,FMCG_YOGURT_046,FMCG,WH_EAST_01,WHOLESALE
2026-03-01,1867,FMCG_WATER_047,FMCG,WH_NORTH_04,B2B_DISTRIBUTOR
2026-03-01,5237,FMCG_SOAP_048,FMCG,WH_NORTH_04,B2B_DISTRIBUTOR
2026-03-01,5744,FMCG_SODA_049,FMCG,WH_NORTH_04,B2B_DISTRIBUTOR
2026-03-01,4315,FMCG_SOAP_050,FMCG,WH_NORTH_04,E_COMMERCE
2026-03-01,2917,FMCG_TEA_051,FMCG,WH_NORTH_04,RETAIL
2026-03-01,3173,FMCG_WATER_052,FMCG,WH_EAST_01,E_COMMERCE
2026-03-01,9663,FMCG_WATER_053,FMCG,WH_SOUTH_03,E_COMMERCE
2026-03-01,14746,FMCG_MILK_054,FMCG,WH_SOUTH_03,WHOLESALE
2026-03-01,8170,FMCG_COFFEE_055,FMCG,WH_NORTH_04,RETAIL
2026-03-01,1789,FMCG_WATER_056,FMCG,WH_NORTH_04,WHOLESALE
2026-03-01,14276,FMCG_CEREAL_057,FMCG,WH_SOUTH_03,B2B_DISTRIBUTOR
2026-03-01,2922,FMCG_COFFEE_058,FMCG,WH_NORTH_04,RETAIL
